Date,ANET,CRWD,LWMHF,LLY,CEG,NVDA.NE,LRLCF,MRU.TO,SSB,COP,TMUS,BIIB,TSM,DOL.TO,NKE
12/29/2023,235.509995,255.320007,813.809998,582.919983,116.889999,45.130001,504.049988,68.050003,84.449997,116.07,160.330002,258.769989,104,94.800003,108.57
1/2/2024,231.559998,246.889999,791.429993,592.200012,115.25,45.529999,483.369995,67.980003,85.050003,117.589996,161.910004,267.709991,101.529999,94.57,106.550003
1/3/2024,229.399994,244.360001,762.159973,617.700012,115.849998,46.549999,478,67.620003,82.169998,119.93,162.080002,263.429993,100.169998,94.290001,104.040001
1/4/2024,230.559998,245.649994,763.059998,614.5,115.360001,49.57,484.600006,67.739998,82.940002,116.480003,162.300003,260.279999,99.129997,95.720001,102.300003
1/5/2024,230.919998,247.460007,753,618.549988,116.239998,50.400002,474.380005,67.769997,82.730003,116.529999,163.369995,257.880005,99.610001,96.43,102.080002
1/8/2024,245.850006,261.279999,760.799988,626.030029,117.029999,51.490002,480.950012,68.32,83.639999,114.5,163.410004,257.980011,102.239998,97.139999,103.620003
1/9/2024,245.199997,273.769989,748,625.47998,116.489998,52.009998,479.269989,68.68,82.519997,112.760002,163.199997,255.839996,101.889999,97.230003,102.739998
1/10/2024,249.229996,282.040009,751.359985,630.190002,115.849998,51.900002,483.220001,68.160004,82.959999,111.18,163.289993,254.229996,100.800003,97,103.769997
1/11/2024,251.740005,284.519989,740,635.719971,112.910004,52.349998,479,68.629997,81.580002,111,162.169998,247.210007,101.220001,98.059998,105.900002
1/12/2024,252.029999,283.350006,737,642.919983,112.910004,53.509998,486.5,68.949997,80.650002,111.699997,162.539993,248.119995,101.239998,99.040001,105.059998
1/16/2024,253.259995,286.290009,720.5,634.570007,111.809998,53.169998,466.799988,68.510002,79.5,108.639999,163.080002,246.190002,101.669998,99.199997,101.720001
1/17/2024,248.990005,276.269989,707.210022,628.909973,111.919998,54.18,457.059998,69.150002,79.400002,107.57,164.270004,245.270004,102.949997,99.910004,100.82
1/18/2024,257.559998,283.109985,725,623.349976,111.410004,56.389999,461.350006,69.760002,80.209999,106.93,164.889999,246.970001,113.029999,99.209999,100.940002
1/19/2024,263.51001,290.540009,725,628.580017,114.449997,56.59,463.869995,69.529999,81.580002,107.870003,165.160004,249.960007,114.199997,99.370003,101.779999
1/22/2024,266.600006,298.660004,724,630.880005,117.209999,56.779999,459.600006,70.400002,83.389999,108.059998,164.380005,248.300003,113.029999,101.660004,100.559998
1/23/2024,262.040009,297.269989,731.210022,629.679993,118.690002,58.18,468.390015,70.879997,81.889999,107.989998,163.740005,251.679993,114.129997,100.139999,101.900002
1/24/2024,262.470001,300.279999,747.469971,633.700012,115.669998,58.490002,462.600006,70.959999,82.470001,109.669998,162,247.160004,116.519997,99.989998,100.760002
1/25/2024,264.420013,293.459991,784.969971,627.619995,120.550003,57.82,464.200012,71.190002,80.989998,112.050003,162.559998,246.210007,116.559998,99.260002,100.769997
1/26/2024,264.399994,290.309998,838.900024,639.25,121.269997,59.25,480.399994,71.209999,84.480003,112.230003,162.160004,244.820007,117.260002,99.57,102.75
1/29/2024,269.579987,300.670013,844.880005,645,121.010002,59.57,480.179993,70.099998,87.129997,111.599998,163.089996,247.520004,116.980003,99.959999,103.879997
1/30/2024,271.959991,301.350006,848.5,644.97998,121.879997,58.299999,482.079987,70.589996,86.489998,114.050003,161.699997,247.080002,116.059998,98.669998,104.18
1/31/2024,258.679993,292.5,833,645.609985,122,59.779999,478.019989,71.110001,83.099998,111.870003,161.229996,246.660004,112.959999,100.220001,101.529999
